asset_id,split,kind,severity,is_failure,cue_component,cue_silhouette,cue_topology,cue_material,cue_motif,cue_metadata,geometry_only,visual_only,metadata_only,equal_weight,single_threshold,criterion_max_diagnostic
ZG003,calibration,compression,1.0,0,0.0,2.836816361366319e-05,0.0,0.0,0.0,0.0,2.836816361366319e-05,2.836816361366319e-05,0.0,4.728027268943865e-06,0.0,2.836816361366319e-05
ZG003,calibration,component,0.15,1,0.08977556109725686,0.0,0.17715127667423788,0.0,0.0,0.0,0.17715127667423788,0.0,0.0,0.04448780629524912,0.0,0.17715127667423788
ZG003,calibration,component,0.3,1,0.176830650646112,0.0,0.3496989844816046,0.0,0.0,0.0,0.3496989844816046,0.0,0.0,0.08775493918795275,1.0,0.3496989844816046
ZG003,calibration,component,0.5,1,0.29483110405803675,0.0,0.5831709654620741,0.0,0.0,0.0,0.5831709654620741,0.0,0.0,0.14633367825335183,1.0,0.5831709654620741
ZG003,calibration,component,0.75,1,0.4309113579687146,0.0,0.8557757749617847,0.0,0.0,0.0,0.8557757749617847,0.0,0.0,0.21444785548841652,1.0,0.8557757749617847
ZG003,calibration,silhouette,0.15,1,0.0,0.12000000000000013,0.0,0.0,0.0,0.0,0.12000000000000013,0.12000000000000013,0.0,0.02000000000000002,0.0,0.12000000000000013
ZG003,calibration,silhouette,0.3,1,0.0,0.2400000000000001,0.0,0.0,0.0,0.0,0.2400000000000001,0.2400000000000001,0.0,0.040000000000000015,0.0,0.2400000000000001
ZG003,calibration,silhouette,0.5,1,0.0,0.3999999999999998,0.0,0.0,0.0,0.0,0.3999999999999998,0.3999999999999998,0.0,0.06666666666666664,1.0,0.3999999999999998
ZG003,calibration,silhouette,0.75,1,0.0,0.5999999999999999,0.0,0.0,0.0,0.0,0.5999999999999999,0.5999999999999999,0.0,0.09999999999999998,1.0,0.5999999999999999
ZG003,calibration,topology,0.15,1,0.14288143278168217,0.0,0.1613357865026825,0.0,0.0,0.0,0.1613357865026825,0.0,0.0,0.05070286988072744,0.0,0.1613357865026825
ZG003,calibration,topology,0.3,1,0.33337111766039446,0.0,0.4375063993717534,0.0,0.0,0.0,0.4375063993717534,0.0,0.0,0.12847958617202462,1.0,0.4375063993717534
ZG003,calibration,topology,0.5,1,0.5,0.0,0.7533895751732449,0.0,0.0,0.0,0.7533895751732449,0.0,0.0,0.20889826252887414,1.0,0.7533895751732449
ZG003,calibration,topology,0.75,1,0.5,0.0,0.7533895751732449,0.0,0.0,0.0,0.7533895751732449,0.0,0.0,0.20889826252887414,1.0,0.7533895751732449
ZG003,calibration,material,0.15,1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.024999999999999998,0.0,0.15
